Date,NO2GT
10-Mar-2004 00:00:00,122
11-Mar-2004 00:00:00,172
12-Mar-2004 00:00:00,170
13-Mar-2004 00:00:00,165
14-Mar-2004 00:00:00,173
15-Mar-2004 00:00:00,187
16-Mar-2004 00:00:00,177
17-Mar-2004 00:00:00,194
18-Mar-2004 00:00:00,176
19-Mar-2004 00:00:00,166
20-Mar-2004 00:00:00,139
21-Mar-2004 00:00:00,144
22-Mar-2004 00:00:00,146
23-Mar-2004 00:00:00,132
23-Mar-2004 00:00:00,132
23-Mar-2004 00:00:00,132
24-Mar-2004 00:00:00,136
25-Mar-2004 00:00:00,141
26-Mar-2004 00:00:00,121
27-Mar-2004 00:00:00,133
28-Mar-2004 00:00:00,103
29-Mar-2004 00:00:00,134
30-Mar-2004 00:00:00,159
31-Mar-2004 00:00:00,125
01-Apr-2004 00:00:00,164
02-Apr-2004 00:00:00,168
03-Apr-2004 00:00:00,106
03-Apr-2004 00:00:00,106
05-Apr-2004 00:00:00,132
06-Apr-2004 00:00:00,134
07-Apr-2004 00:00:00,129
08-Apr-2004 00:00:00,171
09-Apr-2004 00:00:00,139
10-Apr-2004 00:00:00,133
11-Apr-2004 00:00:00,118
12-Apr-2004 00:00:00,93
12-Apr-2004 00:00:00,93
13-Apr-2004 00:00:00,144
14-Apr-2004 00:00:00,119
15-Apr-2004 00:00:00,158
16-Apr-2004 00:00:00,149
16-Apr-2004 00:00:00,149
17-Apr-2004 00:00:00,100
23-Apr-2004 00:00:00,196
24-Apr-2004 00:00:00,134
25-Apr-2004 00:00:00,101
26-Apr-2004 00:00:00,119
27-Apr-2004 00:00:00,137
28-Apr-2004 00:00:00,162
29-Apr-2004 00:00:00,146
30-Apr-2004 00:00:00,135
01-May-2004 00:00:00,131
02-May-2004 00:00:00,123
03-May-2004 00:00:00,130
04-May-2004 00:00:00,132
05-May-2004 00:00:00,125
06-May-2004 00:00:00,139
07-May-2004 00:00:00,133
08-May-2004 00:00:00,85
10-May-2004 00:00:00,135
11-May-2004 00:00:00,163
12-May-2004 00:00:00,131
13-May-2004 00:00:00,148
13-May-2004 00:00:00,148
14-May-2004 00:00:00,164
15-May-2004 00:00:00,149
16-May-2004 00:00:00,125
17-May-2004 00:00:00,142
18-May-2004 00:00:00,162
19-May-2004 00:00:00,165
20-May-2004 00:00:00,179
21-May-2004 00:00:00,155
22-May-2004 00:00:00,126
23-May-2004 00:00:00,114
24-May-2004 00:00:00,114
25-May-2004 00:00:00,155
26-May-2004 00:00:00,136
28-May-2004 00:00:00,119
29-May-2004 00:00:00,119
30-May-2004 00:00:00,128
31-May-2004 00:00:00,161
01-Jun-2004 00:00:00,109
02-Jun-2004 00:00:00,95
03-Jun-2004 00:00:00,108
05-Jun-2004 00:00:00,111
06-Jun-2004 00:00:00,98
07-Jun-2004 00:00:00,142
08-Jun-2004 00:00:00,183
09-Jun-2004 00:00:00,222
10-Jun-2004 00:00:00,211
11-Jun-2004 00:00:00,158
12-Jun-2004 00:00:00,113
13-Jun-2004 00:00:00,89
14-Jun-2004 00:00:00,103
15-Jun-2004 00:00:00,158
16-Jun-2004 00:00:00,142
17-Jun-2004 00:00:00,154
18-Jun-2004 00:00:00,180
18-Jun-2004 00:00:00,180
19-Jun-2004 00:00:00,113
20-Jun-2004 00:00:00,114
21-Jun-2004 00:00:00,147
22-Jun-2004 00:00:00,154
23-Jun-2004 00:00:00,166
24-Jun-2004 00:00:00,128
25-Jun-2004 00:00:00,151
26-Jun-2004 00:00:00,144
27-Jun-2004 00:00:00,137
28-Jun-2004 00:00:00,183
29-Jun-2004 00:00:00,202
30-Jun-2004 00:00:00,226
01-Jul-2004 00:00:00,179
02-Jul-2004 00:00:00,174
03-Jul-2004 00:00:00,131
04-Jul-2004 00:00:00,108
05-Jul-2004 00:00:00,203
06-Jul-2004 00:00:00,194
07-Jul-2004 00:00:00,233
08-Jul-2004 00:00:00,206
09-Jul-2004 00:00:00,180
10-Jul-2004 00:00:00,127
11-Jul-2004 00:00:00,136
12-Jul-2004 00:00:00,128
13-Jul-2004 00:00:00,173
14-Jul-2004 00:00:00,190
15-Jul-2004 00:00:00,198
16-Jul-2004 00:00:00,206
17-Jul-2004 00:00:00,138
18-Jul-2004 00:00:00,114
19-Jul-2004 00:00:00,200
20-Jul-2004 00:00:00,193
21-Jul-2004 00:00:00,194
22-Jul-2004 00:00:00,190
23-Jul-2004 00:00:00,156
24-Jul-2004 00:00:00,116
25-Jul-2004 00:00:00,110
26-Jul-2004 00:00:00,131
27-Jul-2004 00:00:00,128
28-Jul-2004 00:00:00,166
29-Jul-2004 00:00:00,171
30-Jul-2004 00:00:00,167
31-Jul-2004 00:00:00,174
01-Aug-2004 00:00:00,100
02-Aug-2004 00:00:00,173
03-Aug-2004 00:00:00,185
04-Aug-2004 00:00:00,89
05-Aug-2004 00:00:00,115
06-Aug-2004 00:00:00,120
07-Aug-2004 00:00:00,96
08-Aug-2004 00:00:00,98
09-Aug-2004 00:00:00,96
10-Aug-2004 00:00:00,126
11-Aug-2004 00:00:00,69
11-Aug-2004 00:00:00,69
12-Aug-2004 00:00:00,86
13-Aug-2004 00:00:00,109
14-Aug-2004 00:00:00,85
15-Aug-2004 00:00:00,91
16-Aug-2004 00:00:00,110
17-Aug-2004 00:00:00,137
18-Aug-2004 00:00:00,78
19-Aug-2004 00:00:00,68
23-Aug-2004 00:00:00,92
24-Aug-2004 00:00:00,129
25-Aug-2004 00:00:00,107
26-Aug-2004 00:00:00,99
27-Aug-2004 00:00:00,124
28-Aug-2004 00:00:00,102
31-Aug-2004 00:00:00,105
31-Aug-2004 00:00:00,105
01-Sep-2004 00:00:00,171
02-Sep-2004 00:00:00,126
07-Sep-2004 00:00:00,89
08-Sep-2004 00:00:00,188
09-Sep-2004 00:00:00,220
10-Sep-2004 00:00:00,180
11-Sep-2004 00:00:00,101
13-Sep-2004 00:00:00,208
14-Sep-2004 00:00:00,68
15-Sep-2004 00:00:00,173
16-Sep-2004 00:00:00,127
17-Sep-2004 00:00:00,129
18-Sep-2004 00:00:00,132
19-Sep-2004 00:00:00,188
20-Sep-2004 00:00:00,225
21-Sep-2004 00:00:00,210
22-Sep-2004 00:00:00,218
23-Sep-2004 00:00:00,190
24-Sep-2004 00:00:00,160
25-Sep-2004 00:00:00,99
26-Sep-2004 00:00:00,127
27-Sep-2004 00:00:00,158
28-Sep-2004 00:00:00,209
29-Sep-2004 00:00:00,204
30-Sep-2004 00:00:00,188
01-Oct-2004 00:00:00,169
07-Oct-2004 00:00:00,128
08-Oct-2004 00:00:00,128
09-Oct-2004 00:00:00,122
10-Oct-2004 00:00:00,103
11-Oct-2004 00:00:00,109
12-Oct-2004 00:00:00,103
13-Oct-2004 00:00:00,78
20-Oct-2004 00:00:00,194
21-Oct-2004 00:00:00,120
22-Oct-2004 00:00:00,163
23-Oct-2004 00:00:00,120
24-Oct-2004 00:00:00,128
25-Oct-2004 00:00:00,158
26-Oct-2004 00:00:00,187
27-Oct-2004 00:00:00,132
28-Oct-2004 00:00:00,149
29-Oct-2004 00:00:00,163
30-Oct-2004 00:00:00,160
31-Oct-2004 00:00:00,106
01-Nov-2004 00:00:00,110
02-Nov-2004 00:00:00,190
03-Nov-2004 00:00:00,124
04-Nov-2004 00:00:00,186
05-Nov-2004 00:00:00,180
06-Nov-2004 00:00:00,141
07-Nov-2004 00:00:00,140
08-Nov-2004 00:00:00,183
10-Nov-2004 00:00:00,193
11-Nov-2004 00:00:00,211
12-Nov-2004 00:00:00,178
13-Nov-2004 00:00:00,199
14-Nov-2004 00:00:00,106
15-Nov-2004 00:00:00,194
16-Nov-2004 00:00:00,222
17-Nov-2004 00:00:00,288
18-Nov-2004 00:00:00,282
19-Nov-2004 00:00:00,231
20-Nov-2004 00:00:00,243
21-Nov-2004 00:00:00,216
22-Nov-2004 00:00:00,245
23-Nov-2004 00:00:00,233
24-Nov-2004 00:00:00,181
25-Nov-2004 00:00:00,190
26-Nov-2004 00:00:00,255
27-Nov-2004 00:00:00,187
28-Nov-2004 00:00:00,132
28-Nov-2004 00:00:00,132
29-Nov-2004 00:00:00,232
30-Nov-2004 00:00:00,178
01-Dec-2004 00:00:00,185
02-Dec-2004 00:00:00,171
02-Dec-2004 00:00:00,171
03-Dec-2004 00:00:00,173
04-Dec-2004 00:00:00,124
04-Dec-2004 00:00:00,124
05-Dec-2004 00:00:00,106
06-Dec-2004 00:00:00,161
07-Dec-2004 00:00:00,155
08-Dec-2004 00:00:00,127
09-Dec-2004 00:00:00,135
10-Dec-2004 00:00:00,177
11-Dec-2004 00:00:00,147
12-Dec-2004 00:00:00,188
13-Dec-2004 00:00:00,269
14-Dec-2004 00:00:00,257
15-Dec-2004 00:00:00,229
16-Dec-2004 00:00:00,236
17-Dec-2004 00:00:00,213
18-Dec-2004 00:00:00,179
19-Dec-2004 00:00:00,175
20-Dec-2004 00:00:00,151
20-Dec-2004 00:00:00,151
21-Dec-2004 00:00:00,198
22-Dec-2004 00:00:00,178
23-Dec-2004 00:00:00,252
24-Dec-2004 00:00:00,217
25-Dec-2004 00:00:00,184
26-Dec-2004 00:00:00,146
27-Dec-2004 00:00:00,138
28-Dec-2004 00:00:00,101
01-Jan-2005 00:00:00,191
02-Jan-2005 00:00:00,174
03-Jan-2005 00:00:00,190
04-Jan-2005 00:00:00,196
05-Jan-2005 00:00:00,219
06-Jan-2005 00:00:00,169
07-Jan-2005 00:00:00,180
07-Jan-2005 00:00:00,180
08-Jan-2005 00:00:00,196
09-Jan-2005 00:00:00,165
10-Jan-2005 00:00:00,155
11-Jan-2005 00:00:00,162
12-Jan-2005 00:00:00,196
13-Jan-2005 00:00:00,178
14-Jan-2005 00:00:00,197
15-Jan-2005 00:00:00,212
16-Jan-2005 00:00:00,167
17-Jan-2005 00:00:00,272
18-Jan-2005 00:00:00,243
19-Jan-2005 00:00:00,152
20-Jan-2005 00:00:00,210
21-Jan-2005 00:00:00,244
22-Jan-2005 00:00:00,246
23-Jan-2005 00:00:00,206
24-Jan-2005 00:00:00,203
25-Jan-2005 00:00:00,188
26-Jan-2005 00:00:00,185
27-Jan-2005 00:00:00,204
28-Jan-2005 00:00:00,206
29-Jan-2005 00:00:00,140
30-Jan-2005 00:00:00,164
31-Jan-2005 00:00:00,285
01-Feb-2005 00:00:00,227
02-Feb-2005 00:00:00,230
03-Feb-2005 00:00:00,333
04-Feb-2005 00:00:00,306
05-Feb-2005 00:00:00,310
06-Feb-2005 00:00:00,212
07-Feb-2005 00:00:00,281
08-Feb-2005 00:00:00,253
09-Feb-2005 00:00:00,245
10-Feb-2005 00:00:00,289
11-Feb-2005 00:00:00,340
12-Feb-2005 00:00:00,265
13-Feb-2005 00:00:00,229
14-Feb-2005 00:00:00,212
15-Feb-2005 00:00:00,220
16-Feb-2005 00:00:00,288
17-Feb-2005 00:00:00,238
18-Feb-2005 00:00:00,250
19-Feb-2005 00:00:00,250
20-Feb-2005 00:00:00,174
21-Feb-2005 00:00:00,283
22-Feb-2005 00:00:00,295
23-Feb-2005 00:00:00,249
24-Feb-2005 00:00:00,270
25-Feb-2005 00:00:00,202
26-Feb-2005 00:00:00,169
27-Feb-2005 00:00:00,189
28-Feb-2005 00:00:00,150
01-Mar-2005 00:00:00,159
02-Mar-2005 00:00:00,240
03-Mar-2005 00:00:00,228
04-Mar-2005 00:00:00,225
05-Mar-2005 00:00:00,199
06-Mar-2005 00:00:00,194
07-Mar-2005 00:00:00,224
08-Mar-2005 00:00:00,246
09-Mar-2005 00:00:00,235
10-Mar-2005 00:00:00,245
11-Mar-2005 00:00:00,235
12-Mar-2005 00:00:00,221
13-Mar-2005 00:00:00,215
14-Mar-2005 00:00:00,234
15-Mar-2005 00:00:00,248
16-Mar-2005 00:00:00,229
17-Mar-2005 00:00:00,240
18-Mar-2005 00:00:00,241
19-Mar-2005 00:00:00,200
20-Mar-2005 00:00:00,179
21-Mar-2005 00:00:00,232
22-Mar-2005 00:00:00,198
23-Mar-2005 00:00:00,230
24-Mar-2005 00:00:00,232
25-Mar-2005 00:00:00,196
26-Mar-2005 00:00:00,128
27-Mar-2005 00:00:00,126
27-Mar-2005 00:00:00,126
28-Mar-2005 00:00:00,175
29-Mar-2005 00:00:00,181
30-Mar-2005 00:00:00,193
31-Mar-2005 00:00:00,170
01-Apr-2005 00:00:00,160
02-Apr-2005 00:00:00,174
03-Apr-2005 00:00:00,187
04-Apr-2005 00:00:00,190
